Timestamp,X,Y,Z
2025-05-14T12:48:30.722Z,-2.18,1.73,8.9
2025-05-14T12:48:30.756Z,-2.12,1.18,9.3
2025-05-14T12:48:30.788Z,-2.43,0.95,9.5
2025-05-14T12:48:30.823Z,-2.13,1.43,9.28
2025-05-14T12:48:30.854Z,-2.16,1.06,9.18
2025-05-14T12:48:30.889Z,-1.63,0.43,9.62
2025-05-14T12:48:30.923Z,-1.86,1.07,9.88
2025-05-14T12:48:30.956Z,-2.25,1.77,9.46
2025-05-14T12:48:30.990Z,-4.12,3.11,9.11
2025-05-14T12:48:31.023Z,-6.78,3.24,9.87
2025-05-14T12:48:31.055Z,-14.28,5.29,16.06
2025-05-14T12:48:31.089Z,-2.36,0.61,6.05
2025-05-14T12:48:31.123Z,-9.13,12.15,17.89
2025-05-14T12:48:31.154Z,1.2,4.9,7.97
2025-05-14T12:48:31.189Z,-0.38,4.89,9.37
2025-05-14T12:48:31.219Z,-2.39,4.79,9.68
2025-05-14T12:48:31.253Z,-1.87,1.37,7.76
2025-05-14T12:48:31.287Z,-5.33,1.87,11.56
2025-05-14T12:48:31.320Z,-2.53,2.77,9.47
2025-05-14T12:48:31.355Z,-5.42,3.65,9.63
2025-05-14T12:48:31.389Z,-8.35,3.72,11.73
2025-05-14T12:48:31.420Z,-13.18,1.31,18.82
2025-05-14T12:48:31.454Z,-12.92,2.36,13.54
2025-05-14T12:48:31.489Z,-17.64,-0.61,5.94
2025-05-14T12:48:31.522Z,-17.06,-4.18,-0.85
2025-05-14T12:48:31.554Z,-16.74,-1.34,-2.56
2025-05-14T12:48:31.587Z,3.87,-8.19,-1.73
2025-05-14T12:48:31.620Z,4.35,5.13,10.49
2025-05-14T12:48:31.654Z,-8.22,-6.64,18.01
2025-05-14T12:48:31.689Z,-5.01,6.59,13.01
2025-05-14T12:48:31.723Z,-5.1,2.77,10.06
2025-05-14T12:48:31.754Z,-2.32,0.77,11.18
2025-05-14T12:48:31.789Z,-2.57,2.18,10.08
2025-05-14T12:48:31.822Z,-2.79,1.86,9.62
2025-05-14T12:48:31.855Z,-2.52,1.64,9.42
2025-05-14T12:48:31.889Z,-2.16,2.28,8.77
2025-05-14T12:48:31.922Z,-2.44,2.18,8.9
2025-05-14T12:48:31.954Z,-2.55,1.72,9.17
2025-05-14T12:48:31.987Z,-2.63,1.67,9.23
2025-05-14T12:48:32.021Z,-2.42,1.84,9.07
2025-05-14T12:48:32.055Z,-2.67,1.55,9.25
2025-05-14T12:48:32.087Z,-2.72,0.94,9.33
2025-05-14T12:48:32.120Z,-2.45,0.88,9.29
2025-05-14T12:48:32.152Z,-2.44,1.2,9.28
2025-05-14T12:48:32.185Z,-2.45,1.21,9.18
2025-05-14T12:48:32.219Z,-2.52,1.34,9.16
2025-05-14T12:48:32.253Z,-1.89,1.42,8.94
2025-05-14T12:48:32.287Z,-1.14,0.68,9.88
2025-05-14T12:48:32.321Z,-2.4,0.9,10.1
2025-05-14T12:48:32.354Z,-2.39,1.67,10.03
2025-05-14T12:48:32.388Z,-6.97,1.93,13.11
2025-05-14T12:48:32.419Z,-4.87,3.12,11.9
2025-05-14T12:48:32.453Z,3.25,6.46,15.57
2025-05-14T12:48:32.485Z,4.34,6.24,8.17
2025-05-14T12:48:32.519Z,1.7,5.91,8.32
2025-05-14T12:48:32.554Z,0.03,2.04,10
2025-05-14T12:48:32.585Z,-0.85,-1.98,11.32
2025-05-14T12:48:32.620Z,-1.85,-3.11,12.38
2025-05-14T12:48:32.653Z,-1.96,-3.05,11.97
2025-05-14T12:48:32.687Z,-3.43,-1.63,11.2
2025-05-14T12:48:32.720Z,-2.9,-1.68,9.24
2025-05-14T12:48:32.752Z,-3.06,-0.19,10.3
2025-05-14T12:48:32.784Z,-5.09,0.82,14.8
2025-05-14T12:48:32.817Z,-3.19,-0.92,10.08
2025-05-14T12:48:32.851Z,-5.53,-3.61,8.22
2025-05-14T12:48:32.884Z,-7.22,-2.87,9.17
2025-05-14T12:48:32.918Z,-8.35,-1.85,7.42
2025-05-14T12:48:32.951Z,-7.4,-0.97,3.05
2025-05-14T12:48:32.984Z,-8.41,2.43,5.46
2025-05-14T12:48:33.017Z,-7.6,3.68,5.45
2025-05-14T12:48:33.052Z,3.28,4.44,7.98
2025-05-14T12:48:33.084Z,-6.74,-4.27,15.78
2025-05-14T12:48:33.117Z,-3.55,3.05,10.56
2025-05-14T12:48:33.151Z,-3.09,1.73,8.12
2025-05-14T12:48:33.187Z,-3.07,2.83,10.1
2025-05-14T12:48:33.217Z,-2.8,2.6,9.41
2025-05-14T12:48:33.253Z,-2.6,1.61,9.42
2025-05-14T12:48:33.284Z,-2.79,1.21,9.47
2025-05-14T12:48:33.318Z,-2.6,1.62,9.23
2025-05-14T12:48:33.350Z,-2.39,2.03,8.89
2025-05-14T12:48:33.386Z,-2.53,1.85,9.04
2025-05-14T12:48:33.418Z,-2.5,1.47,9.01
2025-05-14T12:48:33.452Z,-2.44,1.59,8.94
2025-05-14T12:48:33.483Z,-2.51,1.48,9.18
2025-05-14T12:48:33.515Z,-2.45,1.3,9.11
2025-05-14T12:48:33.549Z,-2.56,1.42,9.07
2025-05-14T12:48:33.582Z,-2.61,1.3,9.17
2025-05-14T12:48:33.615Z,-2.64,1.17,9.22
2025-05-14T12:48:33.649Z,-2.66,1.41,9.29
2025-05-14T12:48:33.684Z,-2.49,1.52,9.24
2025-05-14T12:48:33.715Z,-2.31,1.72,9.13
2025-05-14T12:48:33.750Z,-2.33,0.77,9.41
2025-05-14T12:48:33.784Z,-3.36,1.41,10.03
2025-05-14T12:48:33.815Z,-2.78,1.58,9.87
2025-05-14T12:48:33.847Z,-2.72,1.85,9.52
2025-05-14T12:48:33.881Z,-8.13,3.47,13.35
2025-05-14T12:48:33.914Z,-8.23,4.79,13.81
2025-05-14T12:48:33.948Z,-5.47,4.52,12.17
2025-05-14T12:48:33.981Z,5.49,7.08,8.87
2025-05-14T12:48:34.015Z,1.75,9.31,12.3
2025-05-14T12:48:34.048Z,1.38,7.03,12.51
2025-05-14T12:48:34.083Z,-0.36,1.64,13.94
